Titles
"Sarah C. M. Paine - WW2, Taiwan, Ukraine, & Maritime vs Continental Powers"
"David Reich – How One Small Tribe Conquered the World 70,000 Years Ago"
"Mark Zuckerberg - Llama 3, $10B Models, Caesar Augustus, & 1 GW Datacenters"
"Ilya Sutskever (OpenAI Chief Scientist) - Building AGI, Alignment, Spies, Microsoft, & Enlightenment"
"Grant Sanderson ( @3blue1brown ) - Past, Present, & Future of Mathematics"
Daniel Yergin – Oil Explains the Entire 20th Century
"Leopold Aschenbrenner - 2027 AGI, China/US Super-Intelligence Race, & The Return of History"
"Dario Amodei (Anthropic CEO) - $10 Billion Models, OpenAI, Scaling, & Alignment"
 @Asianometry  & Dylan Patel – How the Semiconductor Industry Actually Works
"Demis Hassabis – Scaling, Superhuman AIs, AlphaZero atop LLMs, AlphaFold"
Sholto Douglas & Trenton Bricken - How to Build & Understand GPT-7's Mind
